libpsm2,
libpwquality,
libqb,
libqmi,
libreoffice,
librepo,
libreswan,
librtas,
libseccomp,
libselinux,
libsemanage,
libsepol,
libservicelog,
libstoragemgmt,
libteam,
libtirpc,
libunwind,
libvirt,
libvirt-cim,
libvirt-glib,
libvirt-java,
libvirt-python,
libvma,
libvoikko,
libvpd,
libXvMC,
libzfcphbaapi,
linuxptp,
lklug-fonts,
lksctp-tools,
lldpad,
lldpd,
lm_sensors,
logrotate,
logwatch,
lohit-assamese-fonts,
lohit-bengali-fonts,
lohit-devanagari-fonts,
lohit-gujarati-fonts,
lohit-gurmukhi-fonts,
lohit-kannada-fonts,
lohit-malayalam-fonts,
lohit-marathi-fonts,
lohit-nepali-fonts,
lohit-odia-fonts,
lohit-tamil-fonts,
lohit-telugu-fonts,
lorax,"used to generate the installation media; this is a necessary implementation detail"
lshw,
lsscsi,
lsvpd,
ltrace,
lua,
luksmeta,
lvm2,
lzop,
madan-fonts,
mailman,
malaga,
malaga-suomi-voikko,
man-pages,
man-pages-cs,
man-pages-es,
man-pages-fr,
man-pages-it,
man-pages-ja,
man-pages-ko,
man-pages-pl,
man-pages-ru,
man-pages-zh-CN,
mariadb,
maven,
mc,
mcelog,
mdadm,
media-player-info,
memcached,
memstomp,
memtest86+,"needed to build the `hardware-support` module"
mesa,
mesa-libGLw,
microdnf,
minicom,
mksh,
mlocate,
mobile-broadband-provider-info,
mod_auth_gssapi,
mod_auth_mellon,
mod_auth_openidc,
mod_authnz_pam,
mod_fcgid,
mod_http2,
mod_intercept_form_submit,
mod_lookup_identity,
mod_nss,
mod_security,
mod_security_crs,
ModemManager,
mongo-c-driver,
mongo-cxx-driver,
mongodb,
motif,
mousetweaks,
mozvoikko,
mpg123,
mrtg,
mstflint,
mt-st,
mtr,
mtx,
mutt,
mysql-connector-java,
mythes-bg,
mythes-ca,
mythes-cs,
mythes-da,
mythes-de,
mythes-el,
mythes-es,
mythes-fr,
mythes-ga,
mythes-hu,
mythes-it,
mythes-mi,
mythes-ne,
mythes-nl,
mythes-pl,
mythes-pt,
mythes-ro,
mythes-ru,
mythes-sk,
mythes-sl,
mythes-sv,
mythes-uk,
nafees-web-naskh-fonts,
nautilus-sendto,
naver-nanum-fonts,
navilu-fonts,
ndctl,
net-tools,
netcf,
netdump-server,
netlabel_tools,
nettle,
network-manager-applet,
NetworkManager,
NetworkManager-libreswan,
nfs-utils,
nfs4-acl-tools,
nfsometer,
NFStest,
nftables,
nginx,
nmap,
node-gyp,
nodejs,
nspr,
nss,
nss-pam-ldapd,
numad,
nvme-cli,
nvmetcli,
nvml,
ocaml-libvirt,
omping,
opal-prd,
open-vm-tools,
opencryptoki,
openhpi,
OpenIPMI,
openldap,
openoffice-lv,
opensc,
opensm,
openssh,
openssl,
openssl-ibmca,
openvswitch,
oprofile,
orca,
oscap-anaconda-addon,
overpass-fonts,
p11-kit,
pacemaker,
paktype-naqsh-fonts,
paktype-naskh-basic-fonts,
paktype-tehreer-fonts,
pam,
paratype-pt-sans-fonts,
passenger,
pavucontrol,
pcs,
pcsc-lite,
pcsc-lite-ccid,
perftest,
perl,
perl-App-cpanminus,
perl-Archive-Tar,
perl-autodie,
perl-B-Debug,
perl-bignum,
perl-Carp,
perl-Compress-Raw-Bzip2,
perl-Compress-Raw-Zlib,
perl-Config-Perl-V,
perl-constant,
perl-CPAN,
perl-CPAN-Meta,
perl-CPAN-Meta-Requirements,
perl-CPAN-Meta-YAML,
